ma_co_phieu,ngay,gia_mo_cua_vnd,gia_cao_nhat_vnd,gia_thap_nhat_vnd,gia_dong_cua_vnd,gia_dong_cua_dieu_chinh_vnd,khoi_luong_giao_dich_co_phieu,nguon_du_lieu,ngay_thu_thap
VCB,2026-06-12,61900000,62100000,61600000,61600000,61600000,3152300,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-06-11,61500000,61900000,61300000,61600000,61600000,2588500,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-06-10,61600000,62200000,61600000,61700000,61700000,2309200,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-06-09,61300000,61700000,61000000,61500000,61500000,2564800,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-06-08,61200000,62100000,60900000,61300000,61300000,7352300,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-06-05,62400000,62500000,61600000,61700000,61700000,4011200,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-06-04,61800000,62500000,61700000,62200000,62200000,3910600,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-06-03,61700000,62500000,61400000,61900000,61900000,4431300,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-06-02,62300000,62700000,61600000,61600000,61600000,5063900,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-06-01,62300000,62800000,61700000,62200000,62200000,2924300,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-05-29,63000000,63000000,61800000,62000000,62000000,5820000,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-05-28,64200000,64200000,62800000,62800000,62800000,4972400,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-05-27,64400000,64500000,63800000,64200000,64200000,4185600,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-05-26,63300000,64400000,63300000,64400000,64400000,5623900,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-05-25,63200000,64000000,62100000,63700000,63700000,5410300,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-05-22,64900000,64900000,63300000,63500000,63500000,8118400,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-05-21,64600000,66200000,63800000,64900000,64900000,20114300,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-05-20,63700000,64700000,61800000,64600000,64600000,14381600,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-05-19,63400000,65000000,62600000,64400000,64400000,24224800,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-05-18,60700000,63500000,60300000,63200000,63200000,18877600,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-05-15,61300000,61700000,60700000,60700000,60700000,8271800,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-05-14,60500000,61500000,60000000,61000000,61000000,5612100,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-05-13,59700000,61300000,59200000,60100000,60100000,8868000,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-05-12,60300000,60500000,59500000,59900000,59900000,6549200,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-05-11,61000000,61100000,60200000,60300000,60300000,5510000,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-05-08,60500000,61700000,60300000,60700000,60700000,9970000,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-05-07,60900000,61100000,60300000,60300000,60300000,6055700,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-05-06,60200000,60500000,59700000,60500000,60500000,5807400,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-05-05,60600000,60700000,59700000,59900000,59900000,6407700,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-05-04,60500000,61200000,60000000,60700000,60700000,7506200,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-04-29,59900000,60500000,59500000,59800000,59800000,6431000,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-04-28,60800000,61500000,59800000,59800000,59800000,7596400,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-04-24,63000000,63000000,60600000,60600000,60600000,11882500,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-04-23,59700000,63500000,59600000,62800000,62800000,35200000,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-04-22,59600000,59800000,59200000,59400000,59400000,3011000,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-04-21,60400000,60600000,59600000,59600000,59600000,6379000,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-04-20,59600000,60500000,59500000,60100000,60100000,6442900,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-04-17,59400000,59900000,59400000,59500000,59500000,4257800,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-04-16,60000000,60100000,59300000,59400000,59400000,4174500,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-04-15,59700000,60500000,59600000,59900000,59900000,8919600,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-04-14,59700000,59800000,59100000,59300000,59300000,5548100,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-04-13,59500000,59500000,59000000,59200000,59200000,5088700,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-04-10,59600000,61000000,59600000,59800000,59800000,7655400,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-04-09,60000000,60100000,59300000,59400000,59400000,6217700,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-04-08,59200000,60300000,58800000,60200000,60200000,13743100,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-04-07,58000000,58300000,57700000,58000000,58000000,3889100,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-04-06,57800000,58200000,57700000,58000000,58000000,4303300,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-04-03,58300000,58500000,57700000,57700000,57700000,5919600,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-04-02,58700000,58800000,58100000,58200000,58200000,5664500,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-04-01,58900000,59200000,58500000,59000000,59000000,8254700,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-03-31,58200000,58900000,58000000,58100000,58100000,5481100,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-03-30,57900000,58500000,57800000,58000000,58000000,5546000,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-03-27,58000000,59000000,57900000,58800000,58800000,6135900,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-03-26,58500000,58600000,57500000,57900000,57900000,6217800,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-03-25,58800000,59100000,58000000,58400000,58400000,8558200,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-03-24,59000000,59000000,58000000,58200000,58200000,4332300,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-03-23,57800000,58300000,56500000,57600000,57600000,9648600,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-03-20,59800000,59800000,58000000,58000000,58000000,8322900,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-03-19,59700000,60000000,59000000,59800000,59800000,6184000,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-03-18,60900000,62000000,60000000,60500000,60500000,8225000,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-03-17,59500000,60500000,59400000,60500000,60500000,7148800,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-03-16,59300000,59800000,58600000,58800000,58800000,3985900,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-03-13,59200000,60100000,58900000,59000000,59000000,5656900,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-03-12,60200000,60300000,59500000,59800000,59800000,6217000,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-03-11,60500000,61200000,60000000,60400000,60400000,8789200,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-03-10,59800000,60900000,58800000,60400000,60400000,11524700,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-03-09,57400000,59700000,57300000,57300000,57300000,29396000,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-03-06,62000000,63200000,61600000,61600000,61600000,8854200,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-03-05,63700000,63700000,62500000,62500000,62500000,6037000,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-03-04,61800000,63200000,61700000,63000000,63000000,10259500,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-03-03,62900000,63700000,61400000,61600000,61600000,12575400,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-03-02,62900000,63900000,62900000,62900000,62900000,17105000,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-02-27,65500000,66400000,64800000,64900000,64900000,8831200,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-02-26,65200000,65900000,65000000,65400000,65400000,7561900,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-02-25,65000000,66500000,64700000,65100000,65100000,9488800,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-02-24,66600000,66600000,64900000,65000000,65000000,10246500,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-02-23,65000000,66700000,64600000,66400000,66400000,10104200,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-02-13,64700000,65100000,64000000,64400000,64400000,4951400,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-02-12,65500000,65500000,64200000,64200000,64200000,7950400,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-02-11,64000000,66600000,63500000,64700000,64700000,11121200,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-02-10,64500000,65500000,62600000,63100000,63100000,15811100,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-02-09,65500000,66000000,64200000,65000000,65000000,7308900,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-02-06,67900000,67900000,64900000,65100000,65100000,24570400,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
VCB,2026-02-05,70700000,70800000,68400000,68400000,68400000,11688700,https://kbbuddywts.kbsec.com.vn,2026-06-13 17:44:45
